policy,budget,context_length,depth,count,score_mean,ci_low,ci_high,oom_rate,error_rate,peak_vram_gib,cache_gib,compression,prefill_s,compress_s,decode_tps
snapkv,256,4096,0.75,3,1.0000,1.0000,1.0000,0.0000,0.0000,2.993,0.0352,0.9366,2.222,0.043,5.86
snapkv,256,4096,0.9,3,1.0000,1.0000,1.0000,0.0000,0.0000,2.993,0.0352,0.9366,2.227,0.040,5.91
snapkv,256,4096,1.0,3,1.0000,1.0000,1.0000,0.0000,0.0000,2.993,0.0352,0.9366,2.227,0.039,5.95
snapkv,256,8192,0.0,3,1.0000,1.0000,1.0000,0.0000,0.0000,3.005,0.0352,0.9686,4.606,0.081,5.91
snapkv,256,8192,0.1,3,1.0000,1.0000,1.0000,0.0000,0.0000,3.005,0.0352,0.9686,4.559,0.084,5.75
snapkv,256,8192,0.25,3,1.0000,1.0000,1.0000,0.0000,0.0000,3.005,0.0352,0.9686,4.583,0.080,5.87
snapkv,256,8192,0.5,3,1.0000,1.0000,1.0000,0.0000,0.0000,3.005,0.0352,0.9686,4.606,0.082,5.83
snapkv,256,8192,0.75,3,1.0000,1.0000,1.0000,0.0000,0.0000,3.005,0.0352,0.9686,4.576,0.088,5.74
snapkv,256,8192,0.9,3,1.0000,1.0000,1.0000,0.0000,0.0000,3.005,0.0352,0.9686,4.587,0.078,6.45
snapkv,256,8192,1.0,3,1.0000,1.0000,1.0000,0.0000,0.0000,3.005,0.0352,0.9686,4.618,0.081,5.88
streaming_llm,1024,16384,0.0,3,0.0000,0.0000,0.0000,0.0000,0.0000,3.089,0.1406,0.9373,10.475,0.028,11.44
streaming_llm,1024,16384,0.1,3,0.0000,0.0000,0.0000,0.0000,0.0000,3.089,0.1406,0.9373,10.437,0.026,10.98
streaming_llm,1024,16384,0.25,3,0.0000,0.0000,0.0000,0.0000,0.0000,3.089,0.1406,0.9373,10.467,0.025,11.31
streaming_llm,1024,16384,0.5,3,0.0000,0.0000,0.0000,0.0000,0.0000,3.089,0.1406,0.9373,10.479,0.027,11.49
streaming_llm,1024,16384,0.75,3,0.0000,0.0000,0.0000,0.0000,0.0000,3.089,0.1406,0.9373,10.444,0.028,11.28
streaming_llm,1024,16384,0.9,3,0.0000,0.0000,0.0000,0.0000,0.0000,3.089,0.1406,0.9373,10.457,0.026,11.18
streaming_llm,1024,16384,1.0,3,1.0000,1.0000,1.0000,0.0000,0.0000,3.089,0.1406,0.9373,10.493,0.026,11.13
streaming_llm,1024,2048,0.0,3,0.0000,0.0000,0.0000,0.0000,0.0000,2.936,0.1406,0.4881,1.074,0.003,11.18
streaming_llm,1024,2048,0.1,3,0.0000,0.0000,0.0000,0.0000,0.0000,2.936,0.1406,0.4881,1.076,0.003,10.96
streaming_llm,1024,2048,0.25,3,0.0000,0.0000,0.0000,0.0000,0.0000,2.936,0.1406,0.4881,1.077,0.003,11.20
streaming_llm,1024,2048,0.5,3,0.0000,0.0000,0.0000,0.0000,0.0000,2.936,0.1406,0.4881,1.074,0.003,10.81
streaming_llm,1024,2048,0.75,3,1.0000,1.0000,1.0000,0.0000,0.0000,2.936,0.1406,0.4881,1.061,0.003,11.34
streaming_llm,1024,2048,0.9,3,1.0000,1.0000,1.0000,0.0000,0.0000,2.936,0.1406,0.4881,1.075,0.003,11.62
streaming_llm,1024,2048,1.0,3,1.0000,1.0000,1.0000,0.0000,0.0000,2.936,0.1406,0.4881,1.076,0.003,11.56
streaming_llm,1024,32768,0.0,3,0.0000,0.0000,0.0000,0.0000,0.0000,3.089,0.1406,0.9687,21.083,0.053,11.16
